Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
Ethiopian Air,NRT,IST,29h 55m,2 stops,business,21:15,21:10+1,"AED 10,310 ",2024-06-21 
EVA Air,NRT,PAR,24h 30m,1 stop,economy,14:25,07:55+1,"AED 2,630",2024-06-27
United Airlines,LAX,NRT,11h 15m,direct,business,11:25,14:40+1,"AED 16,320 ",2024-06-06 
Royal Air Maroc,IST,CMN,4h 50m,direct,business,18:10,21:00,"AED 6,192 ",2024-06-07 
Royal Air Maroc,LAX,CMN,17h 55m,1 stop,economy,22:00,23:55+1,"AED 5,311 ",2024-06-07 
Turkish Airlines,LAX,IST,13h 10m,direct,business,13:35,12:45+1,"AED 12,280 ",2024-06-18 
Delta,LAX,IST,19h 00m,2 stops,economy,11:05,16:05+1,"AED 5,018",2024-06-26
Turkish Airlines,IST,CMN,4h 50m,direct,business,18:10,21:00,"AED 6,712",2024-07-06
Lufthansa,CMN,IST,9h 50m,1 stop,economy,01:15,13:05,"AED 2,670 ",2024-06-12 
Turkish Airlines,IST,NRT,20h 35m,2 stops,business,17:10,19:45+1,"AED 10,950 ",2024-06-21 
Etihad Airways,NRT,IST,25h 50m,1 stop,business,17:30,13:20+1,"AED 8,205 ",2024-05-29 
Cathay Pacific,NRT,PAR,21h 20m,1 stop,economy,17:15,07:35+1,"AED 2,910",2024-07-02
British Airways,IST,LAX,21h 45m,1 stop,business,08:25,20:10,"AED 17,300 ",2024-06-13 
Royal Air Maroc,CMN,PAR,2h 50m,direct,business,14:15,18:05,"AED 2,720",2024-07-06
Air France,CMN,LAX,16h 35m,1 stop,business,07:30,16:05,"AED 11,190 ",2024-06-08 
British Airways,IST,CMN,17h 45m,2 stops,economy,20:25,12:10+1,"AED 2,233 ",2024-06-07 
Emirates,NRT,IST,25h 25m,1 stop,economy,22:30,17:55+1,"AED 2,301",2024-07-02
Royal Air Maroc,CMN,IST,4h 40m,direct,business,16:45,23:25,"AED 6,511 ",2024-05-29 
Pegasus Airlines,CMN,IST,4h 45m,direct,economy,00:05,06:50,"AED 1,000 ",2024-06-25 
United Airlines,IST,LAX,21h 55m,2 stops,business,08:05,20:00,"AED 8,030",2024-07-02
Condor,LAX,IST,16h 20m,1 stop,business,19:00,21:20+1,"AED 8,571",2024-07-05
British Airways,PAR,NRT,21h 30m,2 stops,economy,10:00,14:30+1,"AED 3,170 ",2024-06-12 
Lufthansa,PAR,IST,5h 50m,1 stop,economy,14:30,21:20,"AED 1,341 ",2024-06-19 
Turkish Airlines,NRT,PAR,18h 55m,1 stop,economy,10:35,22:30,"AED 2,670 ",2024-06-04 
Delta,LAX,IST,19h 05m,2 stops,business,11:00,16:05+1,"AED 26,042 ",2024-06-06 
Multiple Airlines,CMN,NRT,25h 40m,2 stops,business,11:15,20:55+1,"AED 12,341 ",2024-06-02 
