Airline,stops,class,depature time,arrival time,Price,Days Left,Day of Week,Duration_log,Source_CMN,Source_IST,Source_LAX,Source_NRT,Source_PAR,Destination_CMN,Destination_IST,Destination_LAX,Destination_NRT,Destination_PAR
12,2,1,2,4,6.987213200316853,36,2,7.573017256052546,True,False,False,False,False,False,False,False,True,False
36,1,1,1,5,5.858475864332681,10,4,7.150701457592526,False,True,False,False,False,True,False,False,False,False
78,0,1,4,0,6.403110514291227,34,0,5.68697535633982,False,True,False,False,False,True,False,False,False,False
83,1,0,4,4,8.327776926594414,12,6,6.872128101338986,False,False,False,False,True,False,False,False,True,False
18,3,1,4,5,6.653082360137302,30,3,7.4205789054108005,False,False,True,False,False,False,True,False,False,False
77,2,1,0,2,6.946495107298068,14,1,7.226209010100671,False,False,False,False,True,False,False,False,True,False
75,0,1,2,5,5.080907347081587,8,2,5.3230099791384085,False,False,False,False,True,False,True,False,False,False
28,2,1,2,2,6.937362623734795,2,3,7.630461261783627,False,False,False,True,False,True,False,False,False,False
15,1,0,0,2,6.273405168930649,13,0,5.966146739123692,False,True,False,False,False,False,False,False,False,True
105,2,0,5,0,7.446876771902975,41,0,7.405495663199472,False,False,True,False,False,False,False,False,True,False
15,1,1,0,2,5.485253260892737,28,1,5.966146739123692,False,True,False,False,False,False,False,False,False,True
0,1,1,4,0,7.215828041081652,24,4,6.7912214627261855,False,False,True,False,False,False,False,False,True,False
74,1,1,4,4,5.856160155077084,13,0,7.31986492980897,False,True,False,False,False,True,False,False,False,False
12,0,1,4,0,5.565898767292815,23,3,5.220355825078324,True,False,False,False,False,False,False,False,False,True
30,2,1,0,4,7.127950488204173,18,5,7.326465613840322,False,False,False,True,False,True,False,False,False,False
64,1,0,4,5,8.108996355534952,33,6,7.22983877815125,False,True,False,False,False,False,False,True,False,False
4,1,0,0,3,6.884066911968335,11,5,6.173786103901937,False,False,False,False,True,False,True,False,False,False
55,1,1,4,5,6.646793031229738,20,0,7.142827401161621,False,False,False,False,True,False,False,True,False,False
65,2,1,3,0,7.022012104861962,33,6,7.150701457592526,True,False,False,False,False,False,False,True,False,False
65,1,1,4,2,6.34510990648635,39,5,5.783825182329737,False,False,False,False,True,False,True,False,False,False
32,1,1,2,2,6.7063242945735775,5,6,6.774223886357614,False,False,True,False,False,False,False,False,False,True
